independent,regression,score,metric,aic
address + neighbourhood + bedrooms,Poly OLS (deg 2),0.15219378403129658,Adj R²,1124.121182738933
address + neighbourhood + bedrooms,Poly Lasso (deg 2),0.1521791660580747,Adj R²,1124.122820725843
address + bedrooms + property_type,Poly Ridge (deg 2),0.15172659599372695,Adj R²,1124.173518565823
address + neighbourhood + bedrooms,Poly Ridge (deg 2),0.1514169319736206,Adj R²,1124.2081921905185
Area + property_type,Linear,0.14942247960510924,Adj R²,1117.9492572490624
style + bedrooms + property_type,Poly OLS (deg 2),0.14928860509295683,Adj R²,1124.4461629057762
style + bedrooms + property_type,Poly Lasso (deg 2),0.14928592229635484,Adj R²,1124.4464624965385
style + bedrooms + property_type,Poly Ridge (deg 2),0.14909576268619196,Adj R²,1124.4676954168488
neighbourhood + Area + property_type,Linear,0.14874809478731388,Adj R²,1118.9862869497222
Area,Linear,0.14616097416139917,Adj R²,1117.3398713587837
neighbourhood + Area,Linear,0.14587236235323364,Adj R²,1118.344940484844
address + Area + property_type,Linear,0.1432276855234228,Adj R²,1119.600377429413
address + neighbourhood + Area,Linear,0.14071610983680527,Adj R²,1119.8784567370114
style + Area + property_type,Linear,0.14017654396730694,Adj R²,1119.9380908947023
address + Area,Linear,0.1395581704239588,Adj R²,1119.0446507695476
style + Area,Linear,0.13727220602038215,Adj R²,1119.296705753302
neighbourhood + style + Area,Linear,0.13663238996184845,Adj R²,1120.3288718265542
address + style + Area,Linear,0.13056628262691294,Adj R²,1120.9940173823372
address,Poly OLS (deg 2),0.03807096974866775,Adj R²,1129.636643676208
address,Poly Lasso (deg 2),0.03806648501797605,Adj R²,1129.637086586661
address,Poly Ridge (deg 2),0.03472297824457926,Adj R²,1129.9667168539258
address + style,Poly OLS (deg 2),0.022775054995395783,Adj R²,1133.9859221509573
address + style,Poly Lasso (deg 2),0.02276938699047737,Adj R²,1133.986473159104
address + style,Poly Ridge (deg 2),0.020144082872149194,Adj R²,1134.2413459375907
address + property_type,Poly OLS (deg 2),0.010546701073102405,Adj R²,1135.1673137661517
address + property_type,Poly Lasso (deg 2),0.010540407960923703,Adj R²,1135.1679179823957
address + neighbourhood,Poly OLS (deg 2),0.008119757007507666,Adj R²,1135.4000457082136
address + neighbourhood,Poly Lasso (deg 2),0.008111286628282977,Adj R²,1135.4008569781183
address + property_type,Poly Ridge (deg 2),0.0070612949375157275,Adj R²,1135.5013687092658
address + neighbourhood,Poly Ridge (deg 2),0.004863332453247549,Adj R²,1135.7114276677505
address,Linear,0.00010460658372435372,Adj R²,1132.3411299565528
address + Levels + Area,Poly Lasso (deg 2),0.0,Adj R²,inf
style + bathrooms,Log-Linear,0.0,Adj R²,inf
neighbourhood + Area,Log-Linear,0.0,Adj R²,inf
neighbourhood + Year,Log-Linear,0.0,Adj R²,inf
neighbourhood + property_type,Log-Linear,0.0,Adj R²,inf
style + Area + property_type,Log-Linear,0.0,Adj R²,inf
style + bedrooms,Log-Linear,0.0,Adj R²,inf
style + Area + Year,Log-Linear,0.0,Adj R²,inf
style + Levels + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
style + Levels + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
style + Levels + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
style + Levels + property_type,Log-Linear,0.0,Adj R²,inf
style + Levels + property_type,Linear,0.0,Adj R²,inf
style + Levels + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
style + Levels + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
style + Year + property_type,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
style + Levels + Year,Log-Linear,0.0,Adj R²,inf
neighbourhood + bathrooms,Log-Linear,0.0,Adj R²,inf
address + Area,Log-Linear,0.0,Adj R²,inf
address + Year,Log-Linear,0.0,Adj R²,inf
bedrooms + bathrooms + property_type,Log-Linear,0.0,Adj R²,inf
address + property_type,Log-Linear,0.0,Adj R²,inf
neighbourhood + style,Log-Linear,0.0,Adj R²,inf
neighbourhood + bedrooms,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels,Linear,0.0,Adj R²,inf
neighbourhood + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + Levels,Log-Linear,0.0,Adj R²,inf
bedrooms + bathrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
bedrooms + bathrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
bedrooms + bathrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
bedrooms + bathrooms + Levels,Log-Linear,0.0,Adj R²,inf
bedrooms + bathrooms + Levels,Linear,0.0,Adj R²,inf
style + Levels + Year,Poly OLS (deg 2),0.0,Adj R²,inf
style + Levels + Year,Linear,0.0,Adj R²,inf
style + bedrooms + Area,Log-Linear,0.0,Adj R²,inf
bedrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
style + bathrooms + Levels,Log-Linear,0.0,Adj R²,inf
style + bathrooms + Levels,Linear,0.0,Adj R²,inf
address + Levels + Year,Linear,0.0,Adj R²,inf
bedrooms + Levels,Log-Linear,0.0,Adj R²,inf
bedrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
style + bedrooms + property_type,Log-Linear,0.0,Adj R²,inf
bedrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
style + bathrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
bedrooms + property_type,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels,Linear,0.0,Adj R²,inf
style + bedrooms + Year,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
bathrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
style + bathrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
style + bathrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
style + Levels + Area,Poly Lasso (deg 2),0.0,Adj R²,inf
style + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
style + Levels + Area,Poly Ridge (deg 2),0.0,Adj R²,inf
style + Levels + Area,Poly OLS (deg 2),0.0,Adj R²,inf
style + Levels + Area,Log-Linear,0.0,Adj R²,inf
style + Levels + Area,Linear,0.0,Adj R²,inf
style + Levels,Linear,0.0,Adj R²,inf
style + Levels,Log-Linear,0.0,Adj R²,inf
style + bathrooms + property_type,Log-Linear,0.0,Adj R²,inf
style + bathrooms + Area,Log-Linear,0.0,Adj R²,inf
style + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
style + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
style + Area,Log-Linear,0.0,Adj R²,inf
style + Year,Log-Linear,0.0,Adj R²,inf
style + bathrooms + Year,Log-Linear,0.0,Adj R²,inf
style + property_type,Log-Linear,0.0,Adj R²,inf
address + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
bedrooms + Levels + Area,Linear,0.0,Adj R²,inf
bedrooms + Levels + Area,Log-Linear,0.0,Adj R²,inf
bathrooms + Area + property_type,Log-Linear,0.0,Adj R²,inf
Levels + Area + Year,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + Area + Year,Log-Linear,0.0,Adj R²,inf
Levels + Area + Year,Linear,0.0,Adj R²,inf
style,Log-Linear,0.0,Adj R²,inf
bathrooms + Year + property_type,Log-Linear,0.0,Adj R²,inf
Levels,Linear,0.0,Adj R²,inf
Levels,Log-Linear,0.0,Adj R²,inf
Levels + Area + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
Levels,Poly OLS (deg 2),0.0,Adj R²,inf
Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
property_type,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
bathrooms + Levels + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + Area + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + Area + property_type,Linear,0.0,Adj R²,inf
bedrooms + Levels + Area,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + Year + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
[ALL VARIABLES],Poly Ridge (deg 2),0.0,Adj R²,inf
[ALL VARIABLES],Poly OLS (deg 2),0.0,Adj R²,inf
[ALL VARIABLES],Log-Linear,0.0,Adj R²,inf
[ALL VARIABLES],Linear,0.0,Adj R²,inf
neighbourhood,Log-Linear,0.0,Adj R²,inf
Area + Year + property_type,Log-Linear,0.0,Adj R²,inf
Levels + Year + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + Area + property_type,Log-Linear,0.0,Adj R²,inf
Levels + Year + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + Year + property_type,Log-Linear,0.0,Adj R²,inf
Levels + Year + property_type,Linear,0.0,Adj R²,inf
Levels + Area + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
Levels + Area + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + Area + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
bathrooms + Levels + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
bathrooms + Levels + property_type,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels + property_type,Linear,0.0,Adj R²,inf
bedrooms + Levels + property_type,Linear,0.0,Adj R²,inf
address + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
address + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
bedrooms + Levels + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
bedrooms + Levels + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
bedrooms + Levels + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
bedrooms + Levels + property_type,Log-Linear,0.0,Adj R²,inf
bedrooms + Levels + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
bathrooms + Levels + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
bedrooms + Levels + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
bedrooms + Levels + Year,Poly OLS (deg 2),0.0,Adj R²,inf
bedrooms + Levels + Year,Log-Linear,0.0,Adj R²,inf
bedrooms + Levels + Year,Linear,0.0,Adj R²,inf
bedrooms + Levels + Area,Poly Lasso (deg 2),0.0,Adj R²,inf
bedrooms + Levels + Area,Poly Ridge (deg 2),0.0,Adj R²,inf
address + Levels,Log-Linear,0.0,Adj R²,inf
address + Levels,Linear,0.0,Adj R²,inf
address + bathrooms,Log-Linear,0.0,Adj R²,inf
address + bedrooms,Log-Linear,0.0,Adj R²,inf
bedrooms + Area + property_type,Log-Linear,0.0,Adj R²,inf
address + style,Log-Linear,0.0,Adj R²,inf
address + neighbourhood,Log-Linear,0.0,Adj R²,inf
bedrooms + Year + property_type,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels + Area,Linear,0.0,Adj R²,inf
bathrooms + Levels + Area,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels + Area,Poly OLS (deg 2),0.0,Adj R²,inf
bathrooms + Levels + Area,Poly Ridge (deg 2),0.0,Adj R²,inf
bathrooms + Levels + Area,Poly Lasso (deg 2),0.0,Adj R²,inf
bathrooms + Levels + Year,Linear,0.0,Adj R²,inf
bathrooms + Levels + Year,Log-Linear,0.0,Adj R²,inf
bathrooms + Levels + Year,Poly OLS (deg 2),0.0,Adj R²,inf
bathrooms + Levels + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
bathrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
bedrooms + Levels,Linear,0.0,Adj R²,inf
bathrooms + property_type,Log-Linear,0.0,Adj R²,inf
address + bedrooms + bathrooms,Log-Linear,0.0,Adj R²,inf
neighbourhood + bedrooms + bathrooms,Log-Linear,0.0,Adj R²,inf
address + style + Area,Log-Linear,0.0,Adj R²,inf
neighbourhood + style + property_...,Log-Linear,0.0,Adj R²,inf
address + style + Year,Log-Linear,0.0,Adj R²,inf
address + style + property_type,Log-Linear,0.0,Adj R²,inf
neighbourhood + style + Year,Log-Linear,0.0,Adj R²,inf
neighbourhood + style + Area,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
address + bedrooms + Levels,Linear,0.0,Adj R²,inf
neighbourhood + style + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + style + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + style + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + style + Levels,Log-Linear,0.0,Adj R²,inf
neighbourhood + style + Levels,Linear,0.0,Adj R²,inf
address + style + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
address + style + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
address + style + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + bedrooms + Levels,Linear,0.0,Adj R²,inf
neighbourhood + bedrooms + Levels,Log-Linear,0.0,Adj R²,inf
neighbourhood + bedrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + bedrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + bedrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
address + style + Levels,Log-Linear,0.0,Adj R²,inf
neighbourhood + bedrooms + Area,Log-Linear,0.0,Adj R²,inf
address + style + Levels,Linear,0.0,Adj R²,inf
address + style + bathrooms,Log-Linear,0.0,Adj R²,inf
style + bedrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + bedrooms + Year,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + propert...,Log-Linear,0.0,Adj R²,inf
neighbourhood + bedrooms + proper...,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + Year,Log-Linear,0.0,Adj R²,inf
address + bedrooms + Levels,Log-Linear,0.0,Adj R²,inf
address + bedrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
address + bedrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
address + bathrooms + property_type,Log-Linear,0.0,Adj R²,inf
address + Levels + Year,Log-Linear,0.0,Adj R²,inf
address + Levels + Year,Poly OLS (deg 2),0.0,Adj R²,inf
address + Levels + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
address + Levels + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
address + Levels + property_type,Linear,0.0,Adj R²,inf
address + Levels + property_type,Log-Linear,0.0,Adj R²,inf
address + Levels + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
address + Levels + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
address + Levels + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
address + Levels + Area,Poly Ridge (deg 2),0.0,Adj R²,inf
address + Area + Year,Log-Linear,0.0,Adj R²,inf
address + Levels + Area,Poly OLS (deg 2),0.0,Adj R²,inf
address + Levels + Area,Log-Linear,0.0,Adj R²,inf
address + Levels + Area,Linear,0.0,Adj R²,inf
address + Area + property_type,Log-Linear,0.0,Adj R²,inf
neighbourhood + style + bathrooms,Log-Linear,0.0,Adj R²,inf
address + bathrooms + Year,Log-Linear,0.0,Adj R²,inf
address,Log-Linear,0.0,Adj R²,inf
address + bathrooms + Area,Log-Linear,0.0,Adj R²,inf
address + bathrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
address + Year + property_type,Log-Linear,0.0,Adj R²,inf
address + bathrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
address + bathrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
address + bathrooms + Levels,Log-Linear,0.0,Adj R²,inf
address + bathrooms + Levels,Linear,0.0,Adj R²,inf
neighbourhood + style + bedrooms,Log-Linear,0.0,Adj R²,inf
address + bedrooms + property_type,Log-Linear,0.0,Adj R²,inf
address + bedrooms + Year,Log-Linear,0.0,Adj R²,inf
address + bedrooms + Area,Log-Linear,0.0,Adj R²,inf
address + bedrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
address + neighbourhood + Area,Log-Linear,0.0,Adj R²,inf
address + style + bedrooms,Log-Linear,0.0,Adj R²,inf
neighbourhood + bathrooms + Levels,Linear,0.0,Adj R²,inf
neighbourhood + Levels + Area,Linear,0.0,Adj R²,inf
Levels + property_type,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + property_type,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + Area + Year,Log-Linear,0.0,Adj R²,inf
Area + property_type,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels + property...,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + property...,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + property...,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + property...,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels + property...,Linear,0.0,Adj R²,inf
neighbourhood + Levels + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + Year,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + Year,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels + Year,Linear,0.0,Adj R²,inf
neighbourhood + Levels + Area,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + bathrooms + Levels,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels + Area,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + property_type,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + property_type,Log-Linear,0.0,Adj R²,inf
neighbourhood + Area + property_type,Log-Linear,0.0,Adj R²,inf
style + bedrooms + bathrooms,Log-Linear,0.0,Adj R²,inf
style + bedrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
style + bedrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
style + bedrooms + Levels,Log-Linear,0.0,Adj R²,inf
style + bedrooms + Levels,Linear,0.0,Adj R²,inf
Levels + Area,Linear,0.0,Adj R²,inf
Levels + Area,Log-Linear,0.0,Adj R²,inf
Levels + Area,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + Area,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + property_type,Linear,0.0,Adj R²,inf
Levels + Area,Poly Lasso (deg 2),0.0,Adj R²,inf
Levels + Year,Linear,0.0,Adj R²,inf
Levels + Year,Log-Linear,0.0,Adj R²,inf
neighbourhood + Year + property_type,Log-Linear,0.0,Adj R²,inf
Levels + Year,Poly OLS (deg 2),0.0,Adj R²,inf
Levels + Year,Poly Ridge (deg 2),0.0,Adj R²,inf
Levels + Year,Poly Lasso (deg 2),0.0,Adj R²,inf
neighbourhood + Levels + Area,Log-Linear,0.0,Adj R²,inf
neighbourhood + Levels + Area,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + bathrooms + Year,Log-Linear,0.0,Adj R²,inf
neighbourhood + bathrooms + prope...,Log-Linear,0.0,Adj R²,inf
neighbourhood + bathrooms + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
neighbourhood + bathrooms + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + bathrooms + Levels,Poly Lasso (deg 2),0.0,Adj R²,inf
address + neighbourhood + Levels,Poly Ridge (deg 2),0.0,Adj R²,inf
neighbourhood + bathrooms + Area,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + Levels,Poly OLS (deg 2),0.0,Adj R²,inf
address + neighbourhood + Levels,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + Levels,Linear,0.0,Adj R²,inf
address + neighbourhood + bathrooms,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + bedrooms,Log-Linear,0.0,Adj R²,inf
[ALL VARIABLES],Poly Lasso (deg 2),0.0,Adj R²,inf
Year + property_type,Log-Linear,0.0,Adj R²,inf
address + neighbourhood + style,Log-Linear,0.0,Adj R²,inf
address + neighbourhood,Linear,-0.003628677558745519,Adj R²,1133.6681315021285
neighbourhood,Linear,-0.00600945726898261,Adj R²,1132.9202579890436
address + style,Linear,-0.008102564209686358,Adj R²,1134.0906729666078
style,Linear,-0.008336342657967455,Adj R²,1133.1397378919337
address + style + property_type,Poly OLS (deg 2),-0.008799316294422876,Adj R²,1140.6382642718886
address + style + property_type,Poly Lasso (deg 2),-0.008807594867719981,Adj R²,1140.6390438731669
property_type,Linear,-0.009068797521318173,Adj R²,1133.2087207786033
address + property_type,Linear,-0.00969238996149513,Adj R²,1134.2403744785113
address + style + property_type,Poly Ridge (deg 2),-0.011201187137711566,Adj R²,1140.8641828667203
address + neighbourhood + style,Linear,-0.012577490326241225,Adj R²,1135.4731791902823
address + neighbourhood + propert...,Linear,-0.013394074508522147,Adj R²,1135.5497602271182
neighbourhood + style,Linear,-0.01499079130553893,Adj R²,1134.7375873573983
neighbourhood + property_type,Linear,-0.014991782668081655,Adj R²,1134.737680145822
neighbourhood,Poly OLS (deg 2),-0.015923222834225648,Adj R²,1134.8248200032242
neighbourhood,Poly Lasso (deg 2),-0.015927157727353203,Adj R²,1134.8251879583165
neighbourhood,Poly Ridge (deg 2),-0.01600864343770736,Adj R²,1134.8328074337778
style + property_type,Linear,-0.016461727248796354,Adj R²,1134.8751627501329
address + style + property_type,Linear,-0.017139429672960338,Adj R²,1135.9002190039926
style,Poly OLS (deg 2),-0.01728302818907368,Adj R²,1134.9518917431485
style,Poly Lasso (deg 2),-0.01728850515626945,Adj R²,1134.9524032138686
address + neighbourhood + style,Poly OLS (deg 2),-0.01742280943574559,Adj R²,1141.446899005808
address + neighbourhood + style,Poly Lasso (deg 2),-0.017437898174478272,Adj R²,1141.448307878832
style,Poly Ridge (deg 2),-0.017492546274812337,Adj R²,1134.9714557859504
address + neighbourhood + style,Poly Ridge (deg 2),-0.019754560957795375,Adj R²,1141.6643729425903
property_type,Poly OLS (deg 2),-0.020036936624810764,Adj R²,1135.2087207786033
property_type,Poly Ridge (deg 2),-0.020036983284546395,Adj R²,1135.2087251242053
property_type,Poly Lasso (deg 2),-0.02003700683734877,Adj R²,1135.2087273177694
neighbourhood + style + property_...,Linear,-0.023092373631308005,Adj R²,1136.4545984426436
style + property_type,Poly OLS (deg 2),-0.02614841226395681,Adj R²,1138.62674820042
style + property_type,Poly Lasso (deg 2),-0.026167483465430408,Adj R²,1138.6285137806058
style + property_type,Poly Ridge (deg 2),-0.026569423597645025,Adj R²,1138.665717099664
address + neighbourhood + propert...,Poly OLS (deg 2),-0.030970768483623123,Adj R²,1142.7035665632684
address + neighbourhood + propert...,Poly Lasso (deg 2),-0.030982265441939605,Adj R²,1142.704625957951
address + neighbourhood + propert...,Poly Ridge (deg 2),-0.034174182696874,Adj R²,1142.998291245107
neighbourhood + property_type,Poly OLS (deg 2),-0.042963540816378654,Adj R²,1140.170862213647
neighbourhood + property_type,Poly Lasso (deg 2),-0.04296947049049016,Adj R²,1140.1714023259494
neighbourhood + property_type,Poly Ridge (deg 2),-0.04317250585507337,Adj R²,1140.1898942214339
neighbourhood + style,Poly OLS (deg 2),-0.04537003950278762,Adj R²,1140.389809491571
neighbourhood + style,Poly Lasso (deg 2),-0.045379107007687214,Adj R²,1140.3906335148326
neighbourhood + style,Poly Ridge (deg 2),-0.045538642612939606,Adj R²,1140.4051303859133
neighbourhood + style + property_...,Poly OLS (deg 2),-0.06428235771776225,Adj R²,1145.7245549221839
neighbourhood + style + property_...,Poly Lasso (deg 2),-0.06429406257261161,Adj R²,1145.7255997155023
neighbourhood + style + property_...,Poly Ridge (deg 2),-0.06511228970938077,Adj R²,1145.7986074641035
