independent,regression,score,metric,aic
style + bedrooms + Year,Poly Lasso (deg 2),0.2701323318261968,Adj R²,1109.891242032916
neighbourhood + bedrooms + Year,Poly Lasso (deg 2),0.2691783400076935,Adj R²,1110.0153330821163
bedrooms + Year,Log-Linear,0.2680345490043494,Adj R²,1103.681944470247
bedrooms + Year + property_type,Poly Lasso (deg 2),0.26766266030344776,Adj R²,1110.2121532820233
bathrooms + Area,Poly OLS (deg 2),0.2673853782710315,Adj R²,1106.616701711931
bathrooms + Area,Poly Lasso (deg 2),0.26736839089059816,Adj R²,1106.6189044831885
address + Area + Year,Poly Ridge (deg 2),0.26381226729201945,Adj R²,1110.710324108217
Area + Year + property_type,Poly Ridge (deg 2),0.26320245367267303,Adj R²,1110.788983817818
style + bathrooms + Area,Poly OLS (deg 2),0.2587295560307503,Adj R²,1111.363959496745
style + bathrooms + Area,Poly Lasso (deg 2),0.2586993260817322,Adj R²,1111.3678336382584
address + bedrooms + Year,Poly Ridge (deg 2),0.2581464415366985,Adj R²,1111.4386611126563
neighbourhood + bathrooms + Area,Poly OLS (deg 2),0.2568553222127953,Adj R²,1111.6038550686937
neighbourhood + bathrooms + Area,Poly Lasso (deg 2),0.2568159820536682,Adj R²,1111.6088839901277
bathrooms + Area,Poly Ridge (deg 2),0.25560962926341735,Adj R²,1108.1315508361706
style + bathrooms + Area,Poly Ridge (deg 2),0.25535049667282383,Adj R²,1111.7960301381515
style + bedrooms + Area,Poly OLS (deg 2),0.2532719248617261,Adj R²,1112.060838262884
style + bedrooms + Area,Poly Lasso (deg 2),0.25320369522474895,Adj R²,1112.0695181553644
bedrooms + Year + property_type,Poly Ridge (deg 2),0.2516273427602075,Adj R²,1112.2698346994098
neighbourhood + bathrooms + Area,Poly Ridge (deg 2),0.25136544094889834,Adj R²,1112.3030752503669
address + Year,Linear,0.25113822236148453,Adj R²,1105.849949843713
bathrooms + Area + property_type,Poly OLS (deg 2),0.25048455139962167,Adj R²,1112.4147923900364
bathrooms + Area + property_type,Poly Lasso (deg 2),0.25045494979007765,Adj R²,1112.4185442771807
Year,Poly OLS (deg 2),0.24919445197777113,Adj R²,1106.0962155143714
style + bedrooms + Year,Poly Ridge (deg 2),0.24918164869577097,Adj R²,1112.5797900565399
neighbourhood + bedrooms + Year,Poly Ridge (deg 2),0.24883627927449914,Adj R²,1112.6234791207573
Year,Log-Linear,0.2471429974240721,Adj R²,1105.3824706825983
